"SNP_model","predictor","grid","coordinate_1","coordinate_2","coordinate_1_raw","coordinate_2_raw"
"rs929708","SNP",0,0.00126320636705342,-0.00755049852884558,0.00122471938315524,-0.00755293596505199
"rs929708","SNP",0.0101010101010101,-0.00272588087286059,-0.00662430695623362,-0.00259839956851105,-0.00669005215316631
"rs929708","SNP",0.0202020202020202,-0.00848701776791619,-0.0074834042473148,-0.0085781786742856,-0.00725438470640531
"rs929708","SNP",0.0303030303030303,-0.00753048039673987,-0.00815599090288783,-0.00792106611165507,-0.00840298936883256
"rs929708","SNP",0.0404040404040404,-0.00661215412689739,-0.00704658310128026,-0.00538543841412293,-0.00714593440337782
"rs929708","SNP",0.0505050505050505,-0.0059465265559381,-0.00830382891980986,-0.00721112188934221,-0.00800610112318858
"rs929708","SNP",0.0606060606060606,-0.00895273894558116,-0.0137584477607898,-0.00917524922855135,-0.0136614798055978
"rs929708","SNP",0.0707070707070707,-0.0180738227447918,-0.0227010134438621,-0.0164681027777741,-0.022931713352053
"rs929708","SNP",0.0808080808080808,-0.0266857001710676,-0.0282657432177187,-0.0278441883672208,-0.0281500707921534
"rs929708","SNP",0.0909090909090909,-0.0282318597203743,-0.0247781047702342,-0.0285622346113163,-0.025293399673801
"rs929708","SNP",0.101010101010101,-0.0250360273931229,-0.0167991499514092,-0.0238831176925401,-0.0161278894593344
"rs929708","SNP",0.111111111111111,-0.0199277254124722,-0.00887717353095521,-0.0207467970621828,-0.0092235107271039
"rs929708","SNP",0.121212121212121,-0.0141956939635168,-0.00460307182349904,-0.0141521949848089,-0.00458277949000439
"rs929708","SNP",0.131313131313131,-0.00627559585257797,-0.00521398135633087,-0.00594966817637294,-0.00492568724972895
"rs929708","SNP",0.141414141414141,0.000554537671594569,-0.00660636385038798,0.000415397463269017,-0.00679521235549855
"rs929708","SNP",0.151515151515152,0.00312852440469642,-0.00510194031936798,0.00297767298785167,-0.00533753659647433
"rs929708","SNP",0.161616161616162,0.00465359195980029,-0.00379251946483009,0.0048730249549353,-0.00361424950485322
"rs929708","SNP",0.171717171717172,0.00782175740178399,-0.00490180268361203,0.00763896114012481,-0.00432378569683833
"rs929708","SNP",0.181818181818182,0.00844124473921265,-0.00280966010514735,0.00859947686365172,-0.00383930985834328
"rs929708","SNP",0.191919191919192,0.00641355079348787,0.00106992481044388,0.00631386167901355,0.00130413162729619
"rs929708","SNP",0.202020202020202,0.00311399954196399,0.00346742326074303,0.00314221826321849,0.00419147852743122
"rs929708","SNP",0.212121212121212,-0.000388612229569355,0.00328586763151114,-0.000379192316899681,0.00274307881177045
"rs929708","SNP",0.222222222222222,-0.00303303452081814,0.00115551059430606,-0.00305950407323354,0.00109967335253552
"rs929708","SNP",0.232323232323232,-0.00376382346283357,0.00106000310875301,-0.00373583030546177,0.00127351333503305
"rs929708","SNP",0.242424242424242,-0.00258503489798177,0.00263538945546658,-0.0025806228352017,0.00254029485431542
"rs929708","SNP",0.252525252525253,-0.000184532941452774,0.00369935473741583,-0.000248602993471571,0.00348996613203767
"rs929708","SNP",0.262626262626263,0.00155759096450424,0.00160409060058983,0.00164992712767351,0.00210040576240708
"rs929708","SNP",0.272727272727273,0.00201726744784879,-0.00162862247636854,0.00196313031229407,-0.00186445343159342
"rs929708","SNP",0.282828282828283,0.000927986662857916,-0.00321730949299675,0.000933275119876948,-0.00344354110370145
"rs929708","SNP",0.292929292929293,-0.00220420729302627,-0.00244674370491255,-0.00221308714290257,-0.00206638290484768
"rs929708","SNP",0.303030303030303,-0.00712185869426121,0.000462489686857234,-0.00707308774127958,-0.000110387630380938
"rs929708","SNP",0.313131313131313,-0.0108313307150512,0.00357523875870991,-0.0108577293518832,0.00414025934747825
"rs929708","SNP",0.323232323232323,-0.0115183592632271,0.00438683291757522,-0.0116221598477697,0.00431252745274153
"rs929708","SNP",0.333333333333333,-0.00829431977755506,0.00136268220141075,-0.00810029878345984,0.00113511476057206
"rs929708","SNP",0.343434343434343,-0.00198549994460638,-0.00300121203963605,-0.00207189656262865,-0.00276872976593115
"rs929708","SNP",0.353535353535354,0.00556369896747254,-0.00537897045595507,0.0054161964497214,-0.00553895167666223
"rs929708","SNP",0.363636363636364,0.0110313230098493,-0.00410950519842941,0.0113201651041154,-0.00418535041363796
"rs929708","SNP",0.373737373737374,0.014025990305306,-0.00152434699114298,0.0137669776807957,-0.00136032257512706
"rs929708","SNP",0.383838383838384,0.0156923837839372,-0.00102822004676269,0.0158790457818309,-0.001201330251079
"rs929708","SNP",0.393939393939394,0.0183574887368753,-0.00516943604911739,0.0182454875251677,-0.00489440359111804
"rs929708","SNP",0.404040404040404,0.0192363687568573,-0.0112784370302495,0.019206399558243,-0.0112422459833569
"rs929708","SNP",0.414141414141414,0.0153744973562602,-0.0160125092364567,0.0154812646171588,-0.0164220587401426
"rs929708","SNP",0.424242424242424,0.00890698483391797,-0.0186736667252744,0.00903390441529932,-0.0184626291604804
"rs929708","SNP",0.434343434343434,0.00175571898850563,-0.0185130512555665,0.00113607073730358,-0.0181683642195818
"rs929708","SNP",0.444444444444444,-0.00816268211324202,-0.0136072738045456,-0.00727898552608402,-0.0144807001039652
"rs929708","SNP",0.454545454545455,-0.016668203880753,-0.00801563599502586,-0.0172708021794693,-0.00729014768109822
"rs929708","SNP",0.464646464646465,-0.0194271044528244,-0.00636697595665377,-0.0192796742030275,-0.0065263099695654
"rs929708","SNP",0.474747474747475,-0.0192397611063401,-0.00887353294932348,-0.0191471354395522,-0.00881049331404486
"rs929708","SNP",0.484848484848485,-0.0198392327695093,-0.0134106021513505,-0.0200344189412988,-0.0134467964807048
"rs929708","SNP",0.494949494949495,-0.0211549591949342,-0.0146423274750204,-0.0209472659827655,-0.0147963122451429
"rs929708","SNP",0.505050505050505,-0.0206646254307338,-0.0128801632306053,-0.020653511957868,-0.0127368054198063
"rs929708","SNP",0.515151515151515,-0.0168895192859402,-0.00889041386262134,-0.0172781332278978,-0.0089130527092231
"rs929708","SNP",0.525252525252525,-0.0130159623591118,-0.0007997213777143,-0.0125730384201293,-0.00106866351714666
"rs929708","SNP",0.535353535353535,-0.00923297035089449,0.00484628112463331,-0.00914561302389639,0.00509191556889264
"rs929708","SNP",0.545454545454546,-0.0045328759153768,0.00191951889630441,-0.00513204532677205,0.00226564361562627
"rs929708","SNP",0.555555555555556,0.00243758517793693,-0.00435368225623099,0.0029369760238223,-0.00468741390838421
"rs929708","SNP",0.565656565656566,0.0103594367631194,-0.00717255259154141,0.0102682649114536,-0.00744011517254725
"rs929708","SNP",0.575757575757576,0.0103101285006773,-0.00523953649489943,0.0101874454480977,-0.00473297580851159
"rs929708","SNP",0.585858585858586,0.00433240762039452,-0.000307591803117914,0.0044257888393849,-0.000825380998340042
"rs929708","SNP",0.595959595959596,-0.00299031037096689,0.00540190002220886,-0.0030052736113504,0.00576815324342113
"rs929708","SNP",0.606060606060606,-0.0106358740455769,0.00958022026821538,-0.0105988099618046,0.00950023078803219
"rs929708","SNP",0.616161616161616,-0.0170906426194311,0.0106435225767358,-0.0172325060278801,0.0105817089840977
"rs929708","SNP",0.626262626262626,-0.0169926573699743,0.00987840359682162,-0.0168023638358583,0.010025523266671
"rs929708","SNP",0.636363636363636,-0.0103137684590704,0.00885263199363323,-0.0104004034301039,0.00861900851443527
"rs929708","SNP",0.646464646464647,0.000756817467543633,0.00752654700228795,0.000649152417312308,0.00769584285695187
"rs929708","SNP",0.656565656565657,0.0122607329788048,0.00224472832353108,0.0124831281903133,0.0024306473174144
