"Model","Method","ID","alpha","alpha_se","beta","beta_se","p.joint","ide"
"pooled","survHIMA_fixed","Mediator92",0.187338571872341,0.13064132985687,-5.40912448437109,0.157417725367024,0.152284921674077,-1.01333765598179
"pooled","survHIMA_fixed","Mediator91",0.187051948438288,0.13072142656887,-3.97633329600609,0.157448019703372,0.153162865335842,-0.743780890657977
"pooled","survHIMA_fixed","Mediator93",0.186880059543475,0.130322653461321,-0.386540764831565,0.157789062892231,0.152288276994441,-0.0722367611477031
"pooled","survHIMA_fixed","Mediator90",0.186146033022617,0.130599519536163,-1.13977694727877,0.157450293924847,0.154773859686123,-0.212164957266573
"pooled","survHIMA_fixed","Mediator96",0.18264173782514,0.128566433312699,-1.69220383683502,0.158055666157842,0.156140718120478,-0.309067049513918
"pooled","survHIMA_fixed","Mediator101",0.175907597180532,0.126213018437705,0.415835975027872,0.158076584085646,0.164100932710253,0.0731487071883766
"pooled","survHIMA_fixed","Mediator984",0.185531305015822,0.12454567295726,-3.99298619923949,0.146988788378856,0.137028829367963,-0.740823940455069
"pooled","survHIMA_fixed","Mediator985",0.184787458707266,0.124330577426473,-1.9111344069677,0.147268111496102,0.137926750389091,-0.35315367031158
"pooled","survHIMA_fixed","Mediator983",0.186049587675223,0.124701611020655,-0.461219672484457,0.147121683327564,0.136426720758613,-0.0858097298934347
"pooled","survHIMA_fixed","Mediator982",0.186338122968441,0.124820628417932,1.9619908651327,0.147826805755445,0.136193870315147,0.365593695090055
"pooled","survHIMA_fixed","Mediator986",0.183808787329857,0.124034459090251,-5.24408033983093,0.147519604295757,0.139078149479973,-0.963908047924668
"pooled","survHIMA_fixed","Mediator981",0.186416976020998,0.124922596361385,7.09446325807667,0.147913535715818,0.136347667838486,1.32252838706273
"pooled","survHIMA_fixed","Mediator987",0.182617803529245,0.123647555328424,-2.88233885389733,0.147932263781919,0.140411877160392,-0.526366390525732
"pooled","survHIMA_fixed","Mediator980",0.186295994265162,0.125021728411615,2.93943224654474,0.148538664150107,0.136912065250322,0.54760445294513
"pooled","survHIMA_fixed","Mediator105",0.172880066101929,0.125219743756797,0.541016507085589,0.157977516204501,0.168098747264292,0.0935309695071915
"pooled","survHIMA_fixed","Mediator979",0.185981295953968,0.12512539463163,5.65899686386248,0.148639211489871,0.137900277040241,1.05246757054058
"pooled","survHIMA_fixed","Mediator106",0.172355366348021,0.125045796167443,0.560439073865855,0.157782643190038,0.168799409404059,0.0965946818918952
"pooled","survHIMA_fixed","Mediator978",0.185490031623423,0.125240614718352,4.22445868013903,0.149019442713795,0.139303827301488,0.783594974170833
"pooled","survHIMA_fixed","Mediator107",0.171906728761672,0.124894193474151,0.677199325184342,0.157893825899037,0.169392013718417,0.116415120712052
"pooled","survHIMA_fixed","Mediator989",0.179818895002696,0.122658940957193,7.16092972434737,0.150341611692437,0.143360580760997,1.2876704702241
"pooled","survHIMA_fixed","Mediator977",0.18486596199329,0.125369640310574,2.8624361030132,0.149466791344141,0.141044060681762,0.529167003827859
"pooled","survHIMA_fixed","Mediator434",0.206827608890648,0.12251087865274,-1.53846145587599,0.145100815741519,0.0920739883584149,-0.318196304289256
"pooled","survHIMA_fixed","Mediator435",0.206518104898798,0.122507238339758,-1.59708803836133,0.144938273206648,0.0925505102907882,-0.32982759503892
"pooled","survHIMA_fixed","Mediator438",0.205584438906894,0.122497166100089,-0.345581868442327,0.144769585811965,0.0940026661860015,-0.0710462545201119
"pooled","survHIMA_fixed","Mediator431",0.207746592839629,0.122521612528075,0.20779884947466,0.145181216765969,0.15234233218646,0.0431695029743555
"pooled","survHIMA_fixed","Mediator439",0.205271895134124,0.122494045111147,-0.326831793267208,0.144633267763889,0.0944935761229156,-0.067089381594044
"pooled","survHIMA_fixed","Mediator430",0.208050217404448,0.122525255000008,0.238784177663414,0.145256305919156,0.100200648669784,0.0496791000756156
"pooled","survHIMA_fixed","Mediator440",0.204958997707819,0.122490844596062,-0.26104057754988,0.144610076306848,0.0949869255418653,-0.0535026151356937
"pooled","survHIMA_fixed","Mediator427",0.208951181698185,0.122536008330203,-0.246720388196784,0.145519514728028,0.0899909644195249,-0.051552516662753
"pooled","survHIMA_fixed","Mediator426",0.209246689788689,0.122539538371473,0.408695172743238,0.145455023208414,0.0884187585266578,0.085518112029139
"pooled","survHIMA_fixed","Mediator425",0.209540543493475,0.122543171108714,0.48255196104069,0.145532026603047,0.087983357977205,0.101114200180308
"pooled","survHIMA_fixed","Mediator109",0.171205243779733,0.124644274015842,2.33583971352073,0.157263806646879,0.170280600467412,0.399908007583698
"pooled","survHIMA_fixed","Mediator423",0.21012203899177,0.122550646411765,3.21691207409397,0.145398763002689,0.0871276866561656,0.67594412426587
